Full Name,Email Address,Phone_Num,DOB,Rank
Bhekisisa Mpungose,Bhekisisa.Mpungose@madiba.com,929-452-7255,1994-01-14,Cadet
Zibuyile Mbhodwe,Zibuyile.Mbhodwe@dixon.info,554-975-5041,2001-05-06,Cadet
Kerry Phakathwayo,Kerry@Phakathwayo,967-718-0905,2007-01-09,Recruit
NATASHA chamberlain,Natasha.Chamberlain@nodlomo.biz,080 531 9574,1991-06-05,Recruit
Janice Sokhulu,Janice.Sokhulu@may.org,069 550 1873,2005-06-03,Unknown
Nicholas Nkundlande,Nicholas.Nkundlande@gardner.com,088 608 2962,2000-05-14,Recruit
SIPHESIHLE mkhize,Siphesihle.Mkhize@ndabandaba-tiba.com,088 608 7063,1999-12-24,Cadet
Shannon Nonduma,Shannon.Nonduma@barnes.com,082 264 7649,1995-03-13,Unknown
Naomi Shangase,Naomi.Shangase@foster.org,077 835 9733,1995-10-21,Recruit
Sibusisiwe Bevan,Sibusisiwe.Bevan@nyide.com,085 516 2422,1999-02-01,Private
Geraldine Green,Geraldine.Green@ngiba.com,086 624 3107,2007-08-14,Unknown
Lewis Spencer,Lewis.Spencer@long.com,062 952 5346,1992-11-20,Private
JEAN garner,Jean.Garner@jones-williams.info,6985052288,2005-11-14,Unknown
Molly Nontanda,Molly.Nontanda@adams-johnson.com,079 616 3923,2000-02-19,Private
NHLANHLA hughes,,073 207 1398,1991-11-29,Cadet
Iain Williams,Iain.Williams@ngobese-ntenga.com,069 418 5093,2005-12-09,Recruit
LOUIS bikelwayo,Louis.Bikelwayo@ndiyema.net,065 849 2303,1990-08-07,Recruit
OWETHU wanda,Owethu.Wanda@mthembu.com,(784)907-4591,2000-10-18,Private
Nomthandazo Mkhonza,Nomthandazo.Mkhonza@gule-cebisa.com,061 886 1800,1992-12-10,Cadet
SimphiweyiNkosi Wall,SimphiweyiNkosi.Wall@clarke.net,089 340 1316,2004-11-25,Private
Denis Mawanda,Denis.Mawanda@msibi.com,069 501 1099,2005-01-31,Cadet
Charlie Mayisela,Charlie.Mayisela@hardy.com,077 618 5291,1995-11-29,Cadet
Kerry Moore,Kerry.Moore@cwalile.com,(705)920-6801,1990-06-05,Cadet
Kyle Soduba,Kyle.Soduba@soduba.biz,077 642 4424,2000-10-07,Cadet
Amelia Ahmed,Amelia.Ahmed@rogers.com,236-837-5699,2003-05-21,Unknown
Gregory Nomndayi,Gregory.Nomndayi@waters.co.uk,082 681 4514,1994-12-01,Private
BETHAN mayise,Bethan.Mayise@mhlongwane-vilakazi.com,076 838 6285,2003-10-18,Recruit
Julia Thumbeza,Julia.Thumbeza@parsons.com,085 780 7826,1991-01-07,Cadet
Andile Gagashe,Andile.Gagashe@green.com,7036038827,1992-03-27,Private
JENNA green,Jenna.Green@sutton.biz,075 111 6413,1993-10-01,Recruit
Kenneth Ward,Kenneth.Ward@nzimase.net,(767)628-9373,2001-02-01,Recruit
Bhekizizwe Howard,Bhekizizwe.Howard@kaur.info,069 369 3655,1992-06-07,Recruit
Samantha Ndawonde,,068 282 2282,1999-07-12,Recruit
MTHOKOZISI russell,Mthokozisi.Russell@hlomuka-mhlongo.com,067 188 9813,2000-11-06,Private
Thalente Made,,068 927 9428,1994-07-31,Recruit
Shaun Shabane,Shaun.Shabane@mkholo.com,066 169 5503,1992-08-16,Recruit
Bhekizizwe Scott,,(836)815-8607,1997-11-25,Cadet
Billy Nyawokhulu,Billy.Nyawokhulu@jokiwe.info,073 606 1936,1993-06-14,Cadet
Lawrence Smith,Lawrence.Smith@pope.co.uk,078 272 4659,1997-12-03,Unknown
Jason Mgazi,,(851)311-2382,2005-10-04,Unknown
Nomcebo Hooper,Nomcebo.Hooper@mbuyisa.com,436-747-4016,2002-09-25,Recruit
Thembeka Akhtar,Thembeka.Akhtar@mseleku.com,9357715803,2001-12-02,Private
Mandlakhe Davies,Mandlakhe.Davies@white-lee.biz,071 516 3326,2001-08-07,Cadet
SIYABONGA chambers,Siyabonga.Chambers@mathula.com,082 168 9726,1993-01-09,Cadet
THEMBILE masina,Thembile.Masina@msweli-makhathini.com,086 888 1306,1997-02-03,Recruit
TOM madiba,Tom.Madiba@freeman.org,067 959 1898,1994-07-06,Recruit
OLWETHU mphahlwa,,821-375-0792,1996-08-27,Cadet
Clare Nondaba,Clare.Nondaba@thomas.info,066 853 1204,1991-07-17,Unknown
Siyabonga Taylor,Siyabonga.Taylor@madondo-luqe.org,068 375 2322,1996-04-17,Private
Bandile Ngonini,,060 493 2821,1992-04-19,Cadet
John Doe,john.doe@example.com,082 123 4567,2000-01-01,Recruit
John Doe,john.doe@example.com,082 123 4567,2000-01-01,Recruit
