course_id,course_code,course_name,enrollment_id,enrollment_status,start_date,completion_date,student_id,service_number,first_name,last_name,email,rank,student_status,company_name,contact_number,gender,date_of_birth
7,TAC-12,Tactics Cumque 1,1,Failed,2025-05-09,2025-07-04,1,SN-2022-3364,Harriet,Moyo,harriet.moyo@mjwara.com,Cadet,Active,Company Adipisci 10,+27 76 947 1661,Male,2001-06-09
15,LEA-49,Leadership Neque 4,2,Completed,2025-06-12,2025-07-20,1,SN-2022-3364,Harriet,Moyo,harriet.moyo@mjwara.com,Cadet,Active,Company Adipisci 10,+27 76 947 1661,Male,2001-06-09
10,TAC-354,Tactics Qui 4,3,Completed,2025-08-30,2025-11-03,1,SN-2022-3364,Harriet,Moyo,harriet.moyo@mjwara.com,Cadet,Active,Company Adipisci 10,+27 76 947 1661,Male,2001-06-09
18,ENG-849,Engineering Natus 3,4,Completed,2025-04-11,2025-06-15,1,SN-2022-3364,Harriet,Moyo,harriet.moyo@mjwara.com,Cadet,Active,Company Adipisci 10,+27 76 947 1661,Male,2001-06-09
15,LEA-49,Leadership Neque 4,5,Completed,2026-01-08,2026-03-16,2,SN-2025-2222,Zenzile,Khumalo,zenzile.khumalo@gcugcwa.com,Private,Active,Company Adipisci 10,+27 63 681 3141,Male,1997-07-17
30,ENG-671,Engineering Eum 4,6,Completed,2025-01-22,2025-03-17,2,SN-2025-2222,Zenzile,Khumalo,zenzile.khumalo@gcugcwa.com,Private,Active,Company Adipisci 10,+27 63 681 3141,Male,1997-07-17
20,ENG-258,Engineering Deleniti 5,7,Completed,2025-12-20,2026-03-13,2,SN-2025-2222,Zenzile,Khumalo,zenzile.khumalo@gcugcwa.com,Private,Active,Company Adipisci 10,+27 63 681 3141,Male,1997-07-17
19,WEA-297,Weapons Doloremque 4,8,Completed,2025-12-19,2026-03-16,2,SN-2025-2222,Zenzile,Khumalo,zenzile.khumalo@gcugcwa.com,Private,Active,Company Adipisci 10,+27 63 681 3141,Male,1997-07-17
22,INT-17,Intelligence Assumenda 2,9,Completed,2025-03-30,2025-05-12,3,SN-2021-9388,Bongani,Lawrence,bongani.lawrence@mphemba-musi.com,Private,Active,Company Architecto 12,+27 72 424 8809,Male,1995-05-08
15,LEA-49,Leadership Neque 4,10,Completed,2025-05-19,2025-07-19,3,SN-2021-9388,Bongani,Lawrence,bongani.lawrence@mphemba-musi.com,Private,Active,Company Architecto 12,+27 72 424 8809,Male,1995-05-08
9,ENG-738,Engineering Magnam 1,11,Completed,2025-07-23,2025-09-23,3,SN-2021-9388,Bongani,Lawrence,bongani.lawrence@mphemba-musi.com,Private,Active,Company Architecto 12,+27 72 424 8809,Male,1995-05-08
27,TAC-105,Tactics Odio 3,12,Completed,2025-07-24,2025-09-05,3,SN-2021-9388,Bongani,Lawrence,bongani.lawrence@mphemba-musi.com,Private,Active,Company Architecto 12,+27 72 424 8809,Male,1995-05-08
19,WEA-297,Weapons Doloremque 4,13,Completed,2025-05-29,2025-08-08,3,SN-2021-9388,Bongani,Lawrence,bongani.lawrence@mphemba-musi.com,Private,Active,Company Architecto 12,+27 72 424 8809,Male,1995-05-08
23,INT-111,Intelligence Est 2,14,Completed,2025-04-11,2025-06-19,4,SN-2020-2316,Johan,Dlamini,johan.dlamini@baker.co.uk,Cadet,Active,Company Id 33,+27 84 308 8082,Female,2004-01-31
22,INT-17,Intelligence Assumenda 2,15,Completed,2025-06-06,2025-08-14,4,SN-2020-2316,Johan,Dlamini,johan.dlamini@baker.co.uk,Cadet,Active,Company Id 33,+27 84 308 8082,Female,2004-01-31
9,ENG-738,Engineering Magnam 1,16,Failed,2025-05-24,2025-07-09,4,SN-2020-2316,Johan,Dlamini,johan.dlamini@baker.co.uk,Cadet,Active,Company Id 33,+27 84 308 8082,Female,2004-01-31
16,INT-29,Intelligence Debitis 2,17,Failed,2025-01-30,2025-03-04,5,SN-2025-2152,Johan,Venter,johan.venter@gallagher.com,Private,Active,Company Adipisci 10,+27 78 375 1494,Female,1995-05-27
23,INT-111,Intelligence Est 2,18,Completed,2025-12-21,2026-01-29,5,SN-2025-2152,Johan,Venter,johan.venter@gallagher.com,Private,Active,Company Adipisci 10,+27 78 375 1494,Female,1995-05-27
11,INT-616,Intelligence Laboriosam 4,19,Failed,2025-07-17,2025-10-13,5,SN-2025-2152,Johan,Venter,johan.venter@gallagher.com,Private,Active,Company Adipisci 10,+27 78 375 1494,Female,1995-05-27
8,TAC-839,Tactics Magni 2,20,Completed,2025-10-25,2025-12-01,5,SN-2025-2152,Johan,Venter,johan.venter@gallagher.com,Private,Active,Company Adipisci 10,+27 78 375 1494,Female,1995-05-27
2,ENG-406,Engineering Impedit 2,21,Failed,2025-03-27,2025-05-12,6,SN-2023-872,Nyasha,Mahlobo,nyasha.mahlobo@mabaso.info,Cadet,Active,Company Sunt 93,+27 84 539 1782,Female,1997-03-23
8,TAC-839,Tactics Magni 2,22,Completed,2025-08-30,2025-10-26,6,SN-2023-872,Nyasha,Mahlobo,nyasha.mahlobo@mabaso.info,Cadet,Active,Company Sunt 93,+27 84 539 1782,Female,1997-03-23
11,INT-616,Intelligence Laboriosam 4,23,Completed,2025-04-27,2025-07-20,6,SN-2023-872,Nyasha,Mahlobo,nyasha.mahlobo@mabaso.info,Cadet,Active,Company Sunt 93,+27 84 539 1782,Female,1997-03-23
14,INT-386,Intelligence Consequatur 5,24,Completed,2025-02-08,2025-05-05,7,SN-2025-9118,Nozizwe,Marshall,nozizwe.marshall@qwabe.biz,Private,Active,Company Saepe 36,+27 82 801 1077,Male,1999-04-09
2,ENG-406,Engineering Impedit 2,25,Completed,2025-12-30,2026-03-07,7,SN-2025-9118,Nozizwe,Marshall,nozizwe.marshall@qwabe.biz,Private,Active,Company Saepe 36,+27 82 801 1077,Male,1999-04-09
